Event ID,Date,Time,Currency,Impact,News description,Actual,Forecast,Previous,Revised from,FF event ID
12021,2008-01-01,0:01,CAD,N,Bank Holiday [All Day],,,,,12021
12037,2008-01-01,0:01,CHF,N,Bank Holiday [All Day],,,,,12037
23282,2008-01-01,0:01,CNY,N,Bank Holiday [All Day],,,,,23282
12200,2008-01-01,0:01,EUR,N,French Bank Holiday [All Day],,,,,12200
12187,2008-01-01,0:01,EUR,N,German Bank Holiday [All Day],,,,,12187
12222,2008-01-01,0:01,EUR,N,Italian Bank Holiday [All Day],,,,,12222
12028,2008-01-01,0:01,GBP,N,Bank Holiday [All Day],,,,,12028
12061,2008-01-01,0:01,JPY,N,Bank Holiday [All Day],,,,,12061
12090,2008-01-01,0:01,NZD,N,Bank Holiday [All Day],,,,,12090
12005,2008-01-01,0:01,USD,N,Bank Holiday [All Day],,,,,12005
6564,2008-01-01,18:30,AUD,L,AIG Manufacturing Index,57.6,,53.8,,6564
18342,2008-01-01,22:30,CNY,M,Caixin Final Manufacturing PMI,53.3,,52.8,,18342
48240,2008-01-02,0:01,CHF,N,Bank Holiday [All Day],,,,,48240
6569,2008-01-02,0:01,JPY,N,Bank Holiday [All Day],,,,,6569
10297,2008-01-02,1:30,AUD,M,Commodity Prices y/y,1.80%,,1.60%,2.00%,10297
43801,2008-01-02,4:15,EUR,L,Spanish Manufacturing PMI,49.5,,50.7,,43801
43455,2008-01-02,4:45,EUR,L,Italian Manufacturing PMI,50.7,51.2,51.3,,43455
6571,2008-01-02,5:00,EUR,L,Final Manufacturing PMI,52.6,52.5,52.5,,6571
6572,2008-01-02,5:30,GBP,M,Manufacturing PMI,52.9,53.9,54.3,54.4,6572
43183,2008-01-02,6:07,EUR,L,German 10-y Bond Auction,4.35|1.2,,4.19|2.0,,43183
6573,2008-01-02,11:00,USD,H,ISM Manufacturing PMI,47.7,50.7,50.8,,6573
6575,2008-01-02,11:00,USD,L,Construction Spending m/m,0.10%,-0.40%,-0.40%,-0.80%,6575
6574,2008-01-02,11:00,USD,L,ISM Manufacturing Prices,68,65,67.5,,6574
6605,2008-01-02,15:00,USD,H,FOMC Meeting Minutes,,,,,6605
42296,2008-01-02,21:00,CNY,L,Non-Manufacturing PMI,58.8,,54.1,,42296
6583,2008-01-03,0:01,USD,L,Total Vehicle Sales [All Day],16.2M,16.0M,16.2M,,6583
43980,2008-01-03,4:00,EUR,L,Spanish Unemployment Change,35.1K,,45.9K,,43980
6576,2008-01-03,4:30,CHF,M,Manufacturing PMI,61.3,61.5,63.4,,6576
6577,2008-01-03,4:55,EUR,M,German Unemployment Change,-70K,-69K,-52K,,6577
6578,2008-01-03,5:00,EUR,L,M3 Money Supply y/y,12.30%,12.30%,12.30%,,6578
11261,2008-01-03,5:00,EUR,L,Private Loans y/y,11.00%,11.20%,11.20%,,11261
6579,2008-01-03,5:30,GBP,L,Construction PMI,56,53.8,54.3,,6579
6653,2008-01-03,5:30,GBP,M,BOE Credit Conditions Survey,,,,,6653
43335,2008-01-03,6:02,EUR,L,French 10-y Bond Auction,4.31|2.5,,4.25|2.9,,43335
8618,2008-01-03,8:30,USD,L,Challenger Job Cuts y/y,-4.70%,,-8.80%,,8618
6580,2008-01-03,9:15,USD,H,ADP Non-Farm Employment Change,40K,45K,173K,189K,6580
6581,2008-01-03,9:30,USD,M,Unemployment Claims,336K,345K,357K,349K,6581
6582,2008-01-03,11:00,USD,M,Factory Orders m/m,1.50%,0.50%,0.70%,0.50%,6582
6566,2008-01-03,11:30,USD,L,Crude Oil Inventories,-4.0M,-2.3M,-3.3M,,6566
6584,2008-01-03,18:30,AUD,L,AIG Services Index,56.9,,56.4,,6584
6585,2008-01-04,2:45,CHF,H,CPI m/m,0.20%,0.10%,0.50%,,6585
43897,2008-01-04,4:15,EUR,L,Spanish Services PMI,51,,50.7,,43897
43515,2008-01-04,4:45,EUR,L,Italian Services PMI,49.7,50.7,50.8,,43515
6587,2008-01-04,5:00,EUR,L,Final Services PMI,53.1,53.2,53.2,,6587
6591,2008-01-04,5:30,GBP,L,Mortgage Approvals,83K,84K,89K,88K,6591
6590,2008-01-04,5:30,GBP,L,Net Lending to Individuals m/m,8.9B,8.2B,9.0B,8.8B,6590
6588,2008-01-04,5:30,GBP,M,Services PMI,52.4,51.6,51.9,,6588
6593,2008-01-04,6:00,EUR,L,Italian Prelim CPI m/m,0.30%,0.30%,0.40%,,6593
6592,2008-01-04,6:00,EUR,M,CPI Flash Estimate y/y,3.10%,3.10%,3.10%,3.00%,6592
6597,2008-01-04,9:30,CAD,L,IPPI m/m,0.60%,0.30%,-1.20%,-1.10%,6597
6598,2008-01-04,9:30,CAD,M,RMPI m/m,3.40%,0.80%,0.70%,0.30%,6598
6594,2008-01-04,9:30,USD,H,Non-Farm Employment Change,18K,70K,115K,94K,6594
6595,2008-01-04,9:30,USD,H,Unemployment Rate,5.00%,4.80%,4.70%,,6595
6596,2008-01-04,9:30,USD,M,Average Hourly Earnings m/m,0.40%,0.30%,0.40%,0.50%,6596
6601,2008-01-04,11:00,CAD,H,Ivey PMI,45.9,51.5,58.7,,6601
6599,2008-01-04,11:00,USD,H,ISM Non-Manufacturing PMI,53.9,53.5,54.1,,6599
8242,2008-01-04,11:30,USD,L,Natural Gas Storage,-87B,-110B,-165B,,8242
6606,2008-01-04,12:15,USD,M,FOMC Member Kohn Speaks,,,,,6606
6654,2008-01-05,12:15,USD,M,FOMC Member Kohn Speaks,,,,,6654
6607,2008-01-06,17:45,NZD,H,Trade Balance,-646M,-473M,-717M,-690M,6607
6609,2008-01-06,19:50,JPY,L,Monetary Base y/y,0.40%,0.70%,1.00%,,6609
6610,2008-01-07,2:45,CHF,L,Unemployment Rate,2.60%,2.60%,2.60%,,6610
42175,2008-01-07,4:00,CHF,L,Foreign Currency Reserves,49.5B,,48.9B,,42175
6611,2008-01-07,5:30,EUR,L,Sentix Investor Confidence,8.2,10.5,11.9,,6611
6613,2008-01-07,6:00,EUR,L,Consumer Confidence,-9,-8,-8,,6613
6612,2008-01-07,6:00,EUR,L,PPI m/m,0.80%,0.70%,0.70%,0.60%,6612
6614,2008-01-07,6:00,EUR,L,Unemployment Rate,7.20%,7.20%,7.20%,,6614
6731,2008-01-07,8:00,EUR,M,ECB President Trichet Speaks,,,,,6731
6667,2008-01-07,15:00,USD,L,Treasury Sec Paulson Speaks,,,,,6667
6608,2008-01-07,18:30,AUD,L,AIG Construction Index,59.2,,53.2,,6608
6617,2008-01-07,20:01,GBP,M,BRC Retail Sales Monitor y/y,0.30%,,1.20%,,6617
6615,2008-01-07,20:30,AUD,H,Building Approvals m/m,8.90%,0.00%,-3.60%,-2.80%,6615
6732,2008-01-08,4:00,GBP,H,Halifax HPI m/m,1.30%,-0.50%,-1.10%,,6732
6616,2008-01-08,6:00,EUR,L,Retail Sales m/m,-0.50%,0.40%,-0.70%,,6616
6618,2008-01-08,7:00,EUR,M,German Factory Orders m/m,3.40%,-1.60%,4.00%,,6618
48350,2008-01-08,8:30,USD,L,NFIB Small Business Index,94.6,,94.4,,48350
6733,2008-01-08,9:20,USD,M,FOMC Member Plosser Speaks,,,,,6733
6619,2008-01-08,11:00,USD,H,Pending Home Sales m/m,-2.60%,-0.70%,3.70%,0.60%,6619
9942,2008-01-08,11:00,USD,L,IBD/TIPP Economic Optimism,43.2,43.1,44.4,,9942
6665,2008-01-08,13:05,CAD,L,Gov Council Member Kennedy Speaks,,,,,6665
6620,2008-01-08,16:00,USD,L,Consumer Credit m/m,15.4B,7.5B,2.0B,4.7B,6620
6621,2008-01-08,20:01,GBP,L,Nationwide Consumer Confidence,85,85,86,,6621
6622,2008-01-08,20:30,AUD,H,Retail Sales m/m,0.80%,0.50%,0.30%,0.20%,6622
6623,2008-01-08,22:00,NZD,L,ANZ Commodity Prices m/m,0.00%,,0.80%,,6623
48986,2008-01-08,23:45,JPY,L,10-y Bond Auction,1.44|2.5,,1.48|3.2,,48986
6624,2008-01-09,3:00,EUR,L,German Trade Balance,19.8B,17.0B,18.3B,18.2B,6624
6658,2008-01-09,3:00,EUR,M,German Retail Sales m/m,-1.30%,1.00%,-2.30%,-3.30%,6658
6625,2008-01-09,3:45,EUR,L,French Trade Balance,-4.8B,-3.6B,-3.6B,,6625
21667,2008-01-09,6:00,EUR,L,Final GDP q/q,0.80%,0.70%,0.70%,,21667
6627,2008-01-09,6:35,GBP,L,BRC Shop Price Index y/y,1.00%,,1.10%,,6627
6628,2008-01-09,7:00,EUR,M,German Industrial Production m/m,-0.90%,0.30%,0.10%,-0.30%,6628
6629,2008-01-09,9:15,CAD,H,Housing Starts,188K,220K,233K,228K,6629
6630,2008-01-09,11:30,GBP,L,CB Leading Index m/m,-0.30%,,0.10%,0.20%,6630
6640,2008-01-09,11:30,USD,L,Crude Oil Inventories,-6.7M,-2.1M,-4.0M,,6640
6631,2008-01-09,20:30,AUD,H,Trade Balance,-2.25B,-2.54B,-2.86B,-2.98B,6631
6632,2008-01-10,1:00,JPY,L,Leading Indicators,10.00%,10.00%,18.20%,20.00%,6632
6634,2008-01-10,3:45,EUR,L,French Gov Budget Balance,-54.7B,,-52.2B,,6634
6633,2008-01-10,3:45,EUR,M,French Industrial Production m/m,-1.50%,-0.50%,2.10%,,6633
6635,2008-01-10,5:30,GBP,M,Trade Balance,-7.4B,-7.2B,-7.4B,-7.1B,6635
6636,2008-01-10,8:00,GBP,H,Official Bank Rate,5.50%,5.50%,5.50%,,6636
6637,2008-01-10,8:45,EUR,M,Minimum Bid Rate,4.00%,4.00%,4.00%,,6637
6642,2008-01-10,9:30,CAD,L,NHPI m/m,0.50%,0.20%,0.10%,,6642
6641,2008-01-10,9:30,CAD,M,Building Permits m/m,-9.90%,-1.90%,7.30%,6.80%,6641
6638,2008-01-10,9:30,EUR,H,ECB Press Conference,,,,,6638
6639,2008-01-10,9:30,USD,M,Unemployment Claims,322K,340K,337K,336K,6639
49281,2008-01-10,11:00,USD,L,JOLTS Job Openings,4.02M,,4.06M,4.12M,49281
6643,2008-01-10,11:00,USD,L,Wholesale Inventories m/m,0.60%,0.40%,0.00%,,6643
8241,2008-01-10,11:30,USD,L,Natural Gas Storage,-171B,-163B,-87B,,8241
6655,2008-01-10,13:16,USD,H,Fed Chairman Bernanke Speaks,,,,,6655
11971,2008-01-10,19:50,JPY,L,Bank Lending y/y,0.10%,,0.60%,,11971
6644,2008-01-10,19:50,JPY,L,M2 Money Stock y/y,2.10%,2.00%,2.00%,,6644
24248,2008-01-10,22:00,CNY,L,M2 Money Supply y/y,16.70%,18.20%,18.50%,,24248
24343,2008-01-10,22:00,CNY,M,New Loans,49B,,87B,,24343
18381,2008-01-11,0:00,CNY,H,Trade Balance,22.7B,24.4B,26.3B,,18381
6650,2008-01-11,1:00,JPY,L,Economy Watchers Sentiment,36.6,39,38.8,,6650
6659,2008-01-11,3:00,EUR,L,German WPI m/m,-0.50%,0.50%,1.00%,,6659
6652,2008-01-11,5:30,GBP,H,Manufacturing Production m/m,-0.10%,0.10%,0.30%,,6652
6651,2008-01-11,5:30,GBP,L,Industrial Production m/m,-0.10%,0.10%,0.50%,0.40%,6651
6648,2008-01-11,8:00,CAD,H,Employment Change,-18.7K,15.0K,42.6K,,6648
