Event ID,Date,Time,Currency,Impact,News description,Actual,Forecast,Previous,Revised from,FF event ID
28844,2010-01-01,0:01,CAD,N,Bank Holiday [All Day],,,,,28844
28969,2010-01-01,0:01,CHF,N,Bank Holiday [All Day],,,,,28969
29224,2010-01-01,0:01,EUR,N,French Bank Holiday [All Day],,,,,29224
29225,2010-01-01,0:01,EUR,N,German Bank Holiday [All Day],,,,,29225
29226,2010-01-01,0:01,EUR,N,Italian Bank Holiday [All Day],,,,,29226
28945,2010-01-01,0:01,GBP,N,Bank Holiday [All Day],,,,,28945
28935,2010-01-01,0:01,USD,N,Bank Holiday [All Day],,,,,28935
42266,2010-01-02,21:00,CNY,L,Non-Manufacturing PMI,57.5,,52.3,,42266
28841,2010-01-03,0:01,NZD,N,Bank Holiday [All Day],,,,,28841
29483,2010-01-03,11:15,USD,M,FOMC Member Kohn Speaks,,,,,29483
29484,2010-01-03,11:30,USD,H,Fed Chairman Bernanke Speaks,,,,,29484
24572,2010-01-03,18:30,AUD,L,AIG Manufacturing Index,48.5,,51.2,,24572
24829,2010-01-03,22:30,CNY,M,Caixin Final Manufacturing PMI,56.1,,55.7,,24829
27157,2010-01-04,1:30,AUD,M,Commodity Prices y/y,-16.60%,,-24.40%,-25.30%,27157
43825,2010-01-04,4:15,EUR,M,Spanish Manufacturing PMI,45.2,,45.3,,43825
24653,2010-01-04,4:30,CHF,M,Manufacturing PMI,54.6,57.1,56.9,,24653
43479,2010-01-04,4:45,EUR,L,Italian Manufacturing PMI,50.8,50.5,50.1,,43479
58920,2010-01-04,4:50,EUR,L,French Final Manufacturing PMI,54.7,54.4,54.4,,58920
58979,2010-01-04,4:55,EUR,L,German Final Manufacturing PMI,52.7,53.1,53.1,,58979
24652,2010-01-04,5:00,EUR,L,Final Manufacturing PMI,51.6,51.6,51.6,,24652
25082,2010-01-04,5:30,EUR,L,Sentix Investor Confidence,-3.7,-3.4,-5.5,,25082
24511,2010-01-04,5:30,GBP,H,Manufacturing PMI,54.1,52.1,51.8,,24511
28148,2010-01-04,5:30,GBP,L,Mortgage Approvals,61K,58K,58K,57K,28148
28149,2010-01-04,5:30,GBP,M,Net Lending to Individuals m/m,1.1B,0.6B,0.5B,0.3B,28149
14393,2010-01-04,6:00,EUR,L,Italian Prelim CPI m/m,0.20%,0.10%,0.10%,,14393
24798,2010-01-04,11:00,USD,H,ISM Manufacturing PMI,55.9,54.1,53.6,,24798
25365,2010-01-04,11:00,USD,L,Construction Spending m/m,-0.60%,-0.40%,-0.50%,0.00%,25365
24799,2010-01-04,11:00,USD,L,ISM Manufacturing Prices,61.5,57.7,55,,24799
29485,2010-01-04,14:00,USD,L,FOMC Member Duke Speaks,,,,,29485
29482,2010-01-04,19:50,JPY,L,Monetary Base y/y,5.20%,3.50%,3.80%,,29482
28307,2010-01-04,20:01,AUD,M,HIA New Home Sales m/m,0.30%,,-6.00%,,28307
25322,2010-01-05,0:01,USD,L,Total Vehicle Sales [All Day],11.3M,11.0M,10.9M,,25322
44004,2010-01-05,4:00,EUR,M,Spanish Unemployment Change,54.7K,,60.6K,,44004
28218,2010-01-05,4:55,EUR,M,German Unemployment Change,-3K,6K,-1K,-7K,28218
24512,2010-01-05,5:30,GBP,M,Construction PMI,47.1,47.6,47,,24512
27335,2010-01-05,6:00,EUR,M,CPI Flash Estimate y/y,0.90%,0.90%,0.50%,0.60%,27335
29486,2010-01-05,9:00,USD,M,FOMC Member Hoenig Speaks,,,,,29486
26756,2010-01-05,9:30,CAD,L,IPPI m/m,1.00%,0.50%,-0.30%,,26756
26757,2010-01-05,9:30,CAD,M,RMPI m/m,2.20%,1.20%,2.50%,,26757
56225,2010-01-05,9:30,NZD,L,GDT Price Index,-5.40%,,1.70%,,56225
27359,2010-01-05,11:00,USD,H,Pending Home Sales m/m,-16.00%,-2.30%,3.90%,3.70%,27359
26264,2010-01-05,11:00,USD,M,Factory Orders m/m,1.10%,0.50%,0.80%,0.60%,26264
24573,2010-01-05,18:30,AUD,M,AIG Services Index,50,,52.5,,24573
28172,2010-01-05,20:01,GBP,L,BRC Shop Price Index y/y,2.20%,,0.20%,,28172
26058,2010-01-05,20:01,GBP,M,Nationwide Consumer Confidence,69,72,74,73,26058
27431,2010-01-05,20:30,AUD,H,Building Approvals m/m,5.90%,3.10%,-1.80%,-0.60%,27431
49010,2010-01-05,23:45,JPY,L,10-y Bond Auction,1.34|2.6,,1.25|2.8,,49010
29247,2010-01-06,0:01,EUR,N,Italian Bank Holiday [All Day],,,,,29247
