Event ID,Date,Time,Currency,Impact,News description,Actual,Forecast,Previous,Revised from,FF event ID
14743,2009-01-01,0:01,CAD,N,Bank Holiday [All Day],,,,,14743
12041,2009-01-01,0:01,CHF,N,Bank Holiday [All Day],,,,,12041
23293,2009-01-01,0:01,CNY,N,Bank Holiday [All Day],,,,,23293
14778,2009-01-01,0:01,EUR,N,French Bank Holiday [All Day],,,,,14778
14755,2009-01-01,0:01,EUR,N,German Bank Holiday [All Day],,,,,14755
14790,2009-01-01,0:01,EUR,N,Italian Bank Holiday [All Day],,,,,14790
12269,2009-01-01,0:01,GBP,N,Bank Holiday [All Day],,,,,12269
12068,2009-01-01,0:01,JPY,N,Bank Holiday [All Day],,,,,12068
12089,2009-01-01,0:01,NZD,N,Bank Holiday [All Day],,,,,12089
12010,2009-01-01,0:01,USD,N,Bank Holiday [All Day],,,,,12010
10828,2009-01-01,18:30,AUD,L,AIG Manufacturing Index,33.7,,32.7,,10828
18314,2009-01-01,22:30,CNY,M,Caixin Final Manufacturing PMI,41.2,,40.9,,18314
48239,2009-01-02,0:01,CHF,N,Bank Holiday [All Day],,,,,48239
14054,2009-01-02,1:30,AUD,M,Commodity Prices y/y,34.30%,,37.10%,35.00%,14054
43813,2009-01-02,4:15,EUR,L,Spanish Manufacturing PMI,28.5,,29.4,,43813
43467,2009-01-02,4:45,EUR,L,Italian Manufacturing PMI,35.5,33.9,34.9,,43467
58847,2009-01-02,4:50,EUR,L,French Final Manufacturing PMI,34.9,35.8,35.9,,58847
58966,2009-01-02,4:55,EUR,L,German Final Manufacturing PMI,32.7,33.4,33.5,,58966
10925,2009-01-02,5:00,EUR,M,Final Manufacturing PMI,33.9,34.5,34.5,,10925
10836,2009-01-02,5:30,GBP,H,Manufacturing PMI,34.9,33.5,34.5,34.4,10836
12395,2009-01-02,5:30,GBP,L,Mortgage Approvals,27K,33K,31K,32K,12395
13123,2009-01-02,5:30,GBP,M,BOE Credit Conditions Survey,,,,,13123
13253,2009-01-02,5:30,GBP,M,Net Lending to Individuals m/m,1.5B,1.1B,1.2B,1.3B,13253
12249,2009-01-02,6:00,GBP,H,Halifax HPI m/m,-2.20%,-1.60%,-2.70%,-2.60%,12249
10724,2009-01-02,11:00,USD,H,ISM Manufacturing PMI,32.4,35.5,36.2,,10724
10725,2009-01-02,11:00,USD,L,ISM Manufacturing Prices,18,20.5,25.5,,10725
42295,2009-01-02,21:00,CNY,L,Non-Manufacturing PMI,48.9,,45.4,,42295
14814,2009-01-03,18:30,USD,M,FOMC Member Evans Speaks,,,,,14814
14816,2009-01-03,18:30,USD,M,FOMC Member Kroszner Speaks,,,,,14816
18315,2009-01-03,21:00,CNY,H,Manufacturing PMI,41.2,,38.8,,18315
